LSOA Code,Total
E01000006,3
E01000007,175
E01000008,7
E01000009,47
E01000011,4
E01000012,9
E01000013,33
E01000014,6
E01000015,4
E01000016,2
E01000017,4
E01000018,3
E01000019,4
E01000020,2
E01000021,3
E01000022,3
E01000024,4
E01000025,6
E01000027,3
E01000028,1
E01000029,1
E01000030,8
E01000031,1
E01000032,14
E01000033,3
E01000034,5
E01000035,10
E01000036,9
E01000037,4
E01000038,5
E01000039,2
E01000040,13
E01000041,1
E01000042,6
E01000043,3
E01000044,9
E01000045,19
E01000046,9
E01000049,8
E01000050,4
E01000051,8
E01000052,5
E01000053,13
E01000055,3
E01000056,8
E01000057,15
E01000058,2
E01000059,2
E01000060,17
E01000061,4
E01000062,6
E01000063,1
E01000064,8
E01000065,5
E01000066,2
E01000067,7
E01000068,8
E01000069,2
E01000070,20
E01000071,15
E01000072,11
E01000073,4
E01000074,1
E01000075,26
E01000076,2
E01000077,7
E01000078,5
E01000079,6
E01000080,4
E01000082,3
E01000083,2
E01000084,18
E01000085,6
E01000086,3
E01000087,7
E01000088,3
E01000089,5
E01000090,2
E01000091,4
E01000093,8
E01000094,4
E01000095,28
E01000096,8
E01000097,3
E01000098,6
E01000099,5
E01000100,1
E01000101,10
E01000102,3
E01000103,2
E01000104,9
E01000105,24
E01000106,5
E01000107,3
E01000108,5
E01000110,2
E01000111,9
E01000112,9
E01000113,9
E01000114,7
E01000115,1
E01000116,4
E01000117,1
E01000119,2
E01000120,1
E01000121,4
E01000122,2
E01000124,3
E01000126,6
E01000127,2
E01000128,3
E01000129,23
E01000130,3
E01000131,2
E01000132,3
E01000134,2
E01000135,4
E01000136,6
E01000138,3
E01000139,1
E01000140,17
E01000141,58
E01000143,5
E01000144,19
E01000145,1
E01000146,59
E01000147,2
E01000150,13
E01000151,3
E01000153,3
E01000154,5
E01000156,4
E01000157,1
E01000158,1
E01000159,1
E01000160,11
E01000161,2
E01000162,10
E01000163,2
E01000164,18
E01000165,1
E01000166,1
E01000167,2
E01000168,1
E01000169,2
E01000170,2
E01000171,18
E01000172,4
E01000174,7
E01000175,3
E01000177,4
E01000178,9
E01000179,4
E01000180,7
E01000181,24
E01000182,47
E01000183,10
E01000184,2
E01000185,5
E01000186,1
E01000187,1
E01000188,5
E01000189,2
E01000190,1
E01000192,24
E01000193,110
E01000194,23
E01000195,1
E01000196,16
E01000197,8
E01000198,4
E01000199,2
E01000201,4
E01000202,2
E01000203,10
E01000204,3
E01000205,8
E01000206,8
E01000207,7
E01000208,41
E01000209,2
E01000210,7
E01000211,36
E01000212,8
E01000213,2
E01000214,35
E01000215,1
E01000216,3
E01000217,1
E01000218,4
E01000219,5
E01000220,3
E01000221,23
E01000222,4
E01000223,13
E01000225,1
E01000227,3
E01000229,3
E01000230,1
E01000233,3
E01000235,4
E01000236,2
E01000237,17
E01000238,1
E01000239,2
E01000240,1
E01000242,1
E01000243,2
E01000244,3
E01000245,3
E01000248,41
E01000249,2
E01000250,35
E01000251,6
E01000252,1
E01000253,1
E01000257,11
E01000258,3
E01000259,6
E01000260,5
E01000264,14
E01000265,1
E01000268,6
E01000269,2
E01000270,2
E01000271,4
E01000272,1
E01000273,1
E01000274,2
E01000277,1
E01000278,2
E01000281,20
E01000282,4
E01000284,7
E01000287,1
E01000288,1
E01000289,3
E01000290,1
E01000293,4
E01000294,10
E01000295,7
E01000296,36
E01000297,4
E01000298,25
E01000299,27
E01000300,2
E01000301,1
E01000302,18
E01000303,2
E01000304,1
E01000305,10
E01000306,2
E01000307,215
E01000308,3
E01000309,2
E01000310,6
E01000311,3
E01000312,4
E01000313,8
